Departure City,Arrival City,Date Leave,Date Return,Departure Time,Arrival Time,Company,Price,Scraping Date
HCM,HAN,07/02/2024,18/02/2024,05:15,07:25,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,16:30,18:40,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,17:50,20:10,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,21:00,23:10,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,21:40,23:50,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,22:50,01:00,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,23:35,01:45,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,23:50,01:55,VietJet Air,"6,352,800",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,06:00,08:10,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,06:30,08:40,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,07:00,09:10,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,08:05,10:15,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,09:30,11:40,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,10:10,00:20,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,11:25,13:35,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,00:55,15:05,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,13:20,15:30,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,14:25,16:35,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,15:20,17:30,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,19:40,21:50,VietJet Air,"6,547,200",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,12:05,02:15,Vietravel Airlines,"6,577,440",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,01:00,03:15,Vietravel Airlines,"6,577,440",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,17:45,19:55,Vietravel Airlines,"6,577,440",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,06:15,08:25,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,00:00,14:10,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,13:00,15:10,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,14:00,16:15,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,15:00,17:10,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,15:35,17:45,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,16:00,18:10,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,16:40,19:10,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,17:00,19:10,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,18:00,20:15,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,19:00,21:15,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,19:30,21:45,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,20:00,22:15,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,20:45,22:50,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,21:00,23:20,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,22:00,12:15,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,22:40,12:55,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,23:00,01:20,Vietnam Airlines,"7,050,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,05:00,07:20,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,06:00,08:10,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,07:00,09:20,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,08:00,10:10,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,09:00,11:20,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,10:00,00:10,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,11:00,13:15,Vietnam Airlines,"13,327,000",27/12/2023
HCM,HAN,07/02/2024,18/02/2024,05:55,08:05,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,07:20,09:30,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,10:40,00:50,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,14:20,16:30,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,17:10,19:20,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,18:35,20:45,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,20:40,22:50,Bamboo Airways,N/A,27/12/2023
HCM,HAN,07/02/2024,18/02/2024,23:20,01:35,Bamboo Airways,N/A,27/12/2023
